"
Proyecto de Ley
","
Fecha de Presentación
"
       
        
        
        
       
03792/2022-CR
","
16/12/2022
","
LEY QUE FORTALECE LA ACTIVIDAD ACUICULTURA DE CRÍA DE CAMARÓN DE AGUA DULCE PARA LA MICRO Y PEQUEÑA EMPRESA
","
Presentado
","
Congreso
","
 Medina Minaya, Esdras Ricardo; Saavedra Casternoque, Hitler; Jerí Oré, José Enrique
"
"
       
        
        
        
       
03791/2022-CR
","
16/12/2022
","
LEY QUE MODIFICA EL ARTÍCULOS 308-B DE LA LEY 31622, DELITOS CONTRA RECURSOS NATURALES
","
Presentado
","
Congreso
","
 Medina Minaya, Esdras Ricardo; Saavedra Casternoque, Hitler; Jerí Oré, José Enrique
"
"
       
        
        
        
       
03790/2022-CR
","
16/12/2022
","
LEY QUE MODIFICA LA LEY N° 26859, LEY ORGÁNICA DE ELECCIONES, PARA EL FORTALECIMIENTO DEL SISTEMA ELECTORAL Y LA DEMOCRACIA
","
Presentado
","
Congreso
","
 Limachi Quispe, Nieves Esmeralda; Bermejo Rojas, Guillermo; Chávez Chino, Betssy Betzabet; Echeverría Rodríguez, Hamlet; Kamiche Morante, Luis Roberto
"
"
       
        
        
        
       
03789/2022-CR
","
16/12/2022
","
LEY QUE MODIFICA LA LEY DE PRESUPUESTO DEL SECTOR PÚBLICO PARA EL AÑO FISCAL 2023, A FIN DE PROMOVER LA EJECUCIÓN DE INVERSIONES BAJO EL ÁMBITO DEL SISTEMA NACIONAL DE PROGRAMACIÓN MULTIANUAL Y GESTIÓN DE INVERSIONES DEL PODER JUDICIAL, EN COORDINACIÓN CON LOS GOBIERNOS REGIONALES Y LOCALES
","
Presentado
","
Congreso
","
 Paredes Gonzales, Alex Antonio; Paredes Fonseca, Karol Ivett; Medina Hermosilla, Elizabeth Sara; Tello Montes, Nivardo Edgar; Vásquez Vela, Lucinda; Gutiérrez Ticona, Paul Silvio
"
"
       
        
        
        
       
03788/2022-CR
","
15/12/2022
","
RESOLUCIÓN LEGISLATIVA QUE MODIFICA EL REGLAMENTO DEL CONGRESO DE LA REPÚBLICA Y DEJA SIN EFECTO LA AMPLIACIÓN DE LEGISLATURA
","
Presentado
","
Congreso
","
 Reymundo Mercado, Edgard Cornelio; Bazán Narro, Sigrid Tesoro; Luque Ibarra, Ruth
"
"
       
        
        
        
       
03787/2022-CR
","
15/12/2022
","
LEY QUE PROMUEVE LA CREACIÓN E IMPLEMENTACIÓN DEL LABORATORIO NACIONAL DE ANÁLISIS DE SUELOS — CON SEDE EN LA REGIÓN DE CAJAMARCA
","
Presentado
","
Congreso
","
 Quiroz Barboza, Segundo Teodomiro; Ugarte Mamani, Jhakeline Katy; Gutiérrez Ticona, Paul Silvio; Vásquez Vela, Lucinda; Tacuri Valdivia, Germán Adolfo; Tello Montes, Nivardo Edgar
"
"
       
        
        
        
       
03786/2022-CR
","
15/12/2022
","
LEY DE PROMOCIÓN Y DESARROLLO DE LA GANADERÍA FAMILIAR
","
Presentado
","
Congreso
","
 Quiroz Barboza, Segundo Teodomiro; Ugarte Mamani, Jhakeline Katy; Gutiérrez Ticona, Paul Silvio; Vásquez Vela, Lucinda; Tacuri Valdivia, Germán Adolfo; Tello Montes, Nivardo Edgar
"
"
       
        
        
        
       
03785/2022-CR
","
15/12/2022
","
LEY QUE MODIFICA EL RÉGIMEN TRIBUTARIO DE LA LEY 31110 - LEY DEL RÉGIMEN LABORAL AGRARIO Y DE INCENTIVOS PARA EL SECTOR AGRARIO Y RIEGO, AGROEXPORTADOR Y AGROINDUSTRIAL
","
Presentado
","
Congreso
","
 Paredes Gonzales, Alex Antonio; Quiroz Barboza, Segundo Teodomiro; Tacuri Valdivia, Germán Adolfo; Paredes Castro, Francis Jhasmina; Gutiérrez Ticona, Paul Silvio; Ugarte Mamani, Jhakeline Katy; Medina Hermosilla, Elizabeth Sara
"
"
       
        
        
        
       
03784/2022-CR
","
15/12/2022
","
LEY DE REFORMA CONSTITUCIONAL QUE INCORPORA DISPOSICIONES TRANSITORIAS ESPECIALES A LA CONSTITUCIÓN POLÍTICA DEL PERÚ SOBRE RECORTE DE MANDATO PRESIDENCIAL, CONGRESAL Y DE PARLAMENTARIOS ANDINOS, ADELANTO DE ELECCIONES GENERALES Y CONSULTA DE CONVOCATORIA A ASAMBLEA CONSTITUYENTE
","
Presentado
","
Congreso
","
 Robles Araujo, Silvana Emperatriz; Cruz Mamani, Flavio; Echeverría Rodríguez, Hamlet; Flores Ramírez, Alex Randu; Gonza Castillo, Américo; Vásquez Vela, Lucinda
"
"
       
        
        
        
       
03783/2022-CR
","
15/12/2022
","
LEY QUE PRORROGA LA VIGENCIA DE LA LEY DE REINSERCIÓN ECONÓMICA Y SOCIAL DEL MIGRANTE RETORNADO
","
Presentado
","
Congreso
","
 Zeballos Madariaga, Carlos Javier; Alcarraz Agüero, Yorel Kira; Acuña Peralta, Segundo Héctor; Paredes Piqué, Susel Ana María
"
"
       
        
        
        
       
03782/2022-CR
","
15/12/2022
","
LEY QUE MODIFICA EL DECRETO LEY N° 25650, QUE CREA EL FONDO DE APOYO GERENCIAL AL SECTOR PÚBLICO(FAG), A FIN DE ESTABLECER LOS CRITERIOS DE IDONEIDAD Y PROBIDAD DE LOS FUNCIONARIOS
CONTRATADOS A TRAVÉS DEL FAG
","
Presentado
","
Congreso
","
 Acuña Peralta, Segundo Héctor; Paredes Piqué, Susel Ana María; Alcarraz Agüero, Yorel Kira; Zeballos Madariaga, Carlos Javier; Alva Rojas, Carlos Enrique
"
"
       
        
        
        
       
03781/2022-CR
","
15/12/2022
","
LEY QUE FACULTA EL NOMBRAMIENTO DE LOS PROFESIONALES DE LA SALUD Y DE LOS TÉCNICOS Y AUXILIARES ASISTENCIALES DE LA SALUD DEL MINISTERIO DE SALUD EN APLICACIÓN DEL INCISO A) DEL NUMERAL 2 DE LA CENTÉSIMA QUINTA DISPOSICIÓN COMPLEMENTARIA FINAL DE LA LEY N° 31365, LEY DE PRESUPUESTO DEL SECTOR PUBLICO PARA EL AÑO FISCAL 2022
","
Presentado
","
Congreso
","
 Gutiérrez Ticona, Paul Silvio; Quiroz Barboza, Segundo Teodomiro; Paredes Fonseca, Karol Ivett; Ugarte Mamani, Jhakeline Katy; Dávila Atanacio, Pasión Neomías; Medina Hermosilla, Elizabeth Sara; Paredes Gonzales, Alex Antonio
"
"
       
        
        
        
       
03780/2022-CR
","
15/12/2022
","
LEY DE REFORMA CONSTITUCIONAL QUE CONVOCA A REFERENDUM PARA ASAMBLEA CONSTITUYENTE
","
Presentado
","
Congreso
","
 Bellido Ugarte, Guido
"
"
       
        
        
        
       
03779/2022-GL
","
15/12/2022
","
LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL PRIMER HOSPITAL VETERINARIO PÚBLICO EN EL PERÚ
","
Presentado
","
Gobiernos Locales
",
"
       
        
        
        
       
03778/2022-CR
","
14/12/2022
","
LEY DE FORTALECIMIENTO DE LAS ASOCIACIÓN DE FONDOS CONTRA ACCIDENTES DE TRÁNSITO, AFOCAT
","
Presentado
","
Congreso
","
 Aragón Carreño, Luis Ángel; Alva Prieto, María del Carmen; Espinoza Vargas, Jhaec Darwin; Vergara Mendoza, Elvis Hernán; Flores Ancachi, Jorge Luis; Mori Celis, Juan Carlos; Soto Palacios, Wilson; Paredes Fonseca, Karol Ivett
"
"
       
        
        
        
       
03777/2022-CR
","
14/12/2022
","
LEY QUE MODIFICA LA LEY 27972, LEY ORGÁNICA DE MUNICIPALIDAD Y LA LEY 27867, LEY ORGÁNICA DE GOBIERNOS REGIONALES, ADICIONANDO NUEVAS CAUSALES DE VACANCIA DE ALCALDES Y GOBERNADORES REGIONALES Y DISMINUYE LOS PLAZOS DEL PROCESO DE VACANCIA
","
Presentado
","
Congreso
","
 Varas Meléndez, Elías Marcial; Cutipa Ccama, Víctor Raúl; Coayla Juárez, Jorge Samuel; Marticorena Mendoza, Jorge Alfonso
"
"
       
        
        
        
       
03776/2022-CR
","
14/12/2022
","
LEY QUE ESTIMULA LA COMPETENCIA Y PROMUEVE LA MEJORA DE LOS SERVICIOS EN EL ASEGURAMIENTO PRIVADO EN SALUD
","
Presentado
","
Congreso
","
 Bazán Narro, Sigrid Tesoro; Cortez Aguirre, Isabel; Luque Ibarra, Ruth; Reymundo Mercado, Edgard Cornelio
"
"
       
        
        
        
       
03775/2022-CR
","
14/12/2022
","
LEY QUE PRECISA LA CAUSAL DE DESPIDO POR RENDIMIENTO DEFICIENTE
","
Presentado
","
Congreso
","
 Cortez Aguirre, Isabel; Reymundo Mercado, Edgard Cornelio; Bazán Narro, Sigrid Tesoro; Luque Ibarra, Ruth
"
"
       
        
        
        
       
03774/2022-CR
","
14/12/2022
","
LEY QUE FACULTA A RENIEC LA INCORPORACIÓN DEFINITIVA DE SUS TRABAJADORES BAJO EL RÉGIMEN LABORAL CAS AL DECRETO LEGISLATIVO N° 728
","
Presentado
","
Congreso
","
 Cortez Aguirre, Isabel; Reymundo Mercado, Edgard Cornelio; Bazán Narro, Sigrid Tesoro; Luque Ibarra, Ruth
"
"
       
        
        
        
       
03773/2022-CR
","
14/12/2022
","
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA IMPLEMENTACIÓN DE EQUIPOS MULTIDISCIPLINARIOS EN EL CENTRO EMERGENCIA MUJER
","
Presentado
","
Congreso
","
 Julón Irigoín, Elva Edhit; Ruíz Rodríguez, Magaly Rosmery; Torres Salinas, Rosio; Trigozo Reátegui, Cheryl; García Correa, Idelso Manuel; Soto Reyes, Alejandro; Camones Soriano, Lady Mercedes
"
"
       
        
        
        
       
03772/2022-CR
","
14/12/2022
","
LEY QUE CONVOCA A ELECCIONES DE CONGRESO CONSTITUYENTE Y PRESIDENCIALES 2023
","
En comisión
","
Congreso
","
 Palacios Huamán, Margot; Taipe Coronado, María Elizabeth; Robles Araujo, Silvana Emperatriz; Gonza Castillo, Américo; Cruz Mamani, Flavio; Coayla Juárez, Jorge Samuel
"
"
       
        
        
        
       
03771/2022-CR
","
14/12/2022
","
LEY QUE AUTORIZA EXCEPCIONALMENTE LA INCORPORACIÓN AL RÉGIMEN LABORAL DEL DECRETO LEGISLATIVO 728 A LOS TRABAJADORES CONTRATADOS BAJO LOS ALCANCES DEL DECRETO LEGISLATIVO 1057
","
En comisión
","
Congreso
","
 Gutiérrez Ticona, Paul Silvio; Quiroz Barboza, Segundo Teodomiro; Medina Hermosilla, Elizabeth Sara; Paredes Gonzales, Alex Antonio; Ugarte Mamani, Jhakeline Katy; Dávila Atanacio, Pasión Neomías; Paredes Fonseca, Karol Ivett
"
"
       
        
        
        
       
03770/2022-CR
","
14/12/2022
","
LEY QUE PRORROGA EL PLAZO ESTABLECIDO EN LA CUARTA DISPOSICIÓN COMPLEMENTARIA, TRANSITORIA Y FINAL DE LA LEY 27269, LEY DE FIRMAS Y CERTIFICADOS DIGITALES
","
En comisión
","
Congreso
","
 Ugarte Mamani, Jhakeline Katy; Paredes Gonzales, Alex Antonio; Quiroz Barboza, Segundo Teodomiro; Gutiérrez Ticona, Paul Silvio; Vásquez Vela, Lucinda; Medina Hermosilla, Elizabeth Sara
"
"
       
        
        
        
       
03769/2022-CR
","
13/12/2022
","
LEY DE FOMENTO DE LA ORQUESTA SINFÓNICA DE INSTRUMENTOS NATIVOS
","
En comisión
","
Congreso
","
 Soto Reyes, Alejandro; Julón Irigoín, Elva Edhit; Ruíz Rodríguez, Magaly Rosmery; Chiabra León, Roberto Enrique; Camones Soriano, Lady Mercedes; Trigozo Reátegui, Cheryl
"
"
       
        
        
        
       
03768/2022-CR
","
13/12/2022
","
LEY QUE PROMUEVE LA PROTECCIÓN DE LOS NOMBRES PERSONALES EN LENGUA ORIGINARIA
","
En comisión
","
Congreso
","
 Soto Reyes, Alejandro; Trigozo Reátegui, Cheryl; Ruíz Rodríguez, Magaly Rosmery; Chiabra León, Roberto Enrique; Camones Soriano, Lady Mercedes; Julón Irigoín, Elva Edhit
"
"
       
        
        
        
       
03767/2022-CR
","
13/12/2022
","
LEY DE REFORMA CONSTITUCIONAL QUE INCORPORA EL DERECHO A LA SEGURIDAD JURÍDICA
","
En comisión
","
Congreso
","
 Soto Reyes, Alejandro; García Correa, Idelso Manuel; Julón Irigoín, Elva Edhit; Ruíz Rodríguez, Magaly Rosmery; Chiabra León, Roberto Enrique; Camones Soriano, Lady Mercedes
"
"
       
        
        
        
       
03766/2022-CR
","
13/12/2022
","
LEY QUE DECLARA DE INTERÉS NACIONAL LA POSTULACIÓN DE LA VENERACIÓN Y EL CULTO AL SEÑOR DE LOS TEMBLORES, PATRONO JURADO DE LA CIUDAD DE CUSCO, COMO PATRIMONIO CULTURAL INMATERIAL DE LA HUMANIDAD ANTE LA UNESCO
","
En comisión
","
Congreso
","
 Soto Reyes, Alejandro; García Correa, Idelso Manuel; Julón Irigoín, Elva Edhit; Ruíz Rodríguez, Magaly Rosmery; Chiabra León, Roberto Enrique; Camones Soriano, Lady Mercedes
"
"
       
        
        
        
       
03765/2022-CR
","
13/12/2022
","
LEY QUE GARANTIZA EL DERECHO DE LAS PERSONAS, EN SITUACIÓN DE HOSPITALIZACIÓN O CON TRATAMIENTO AMBULATORIO, A LA EDUCACIÓN BÁSICA DE CALIDAD, EFICIENTE Y OPORTUNA
","
En comisión
","
Congreso
","
 Ugarte Mamani, Jhakeline Katy; Quiroz Barboza, Segundo Teodomiro; Vásquez Vela, Lucinda; Medina Hermosilla, Elizabeth Sara; Gutiérrez Ticona, Paul Silvio; Paredes Gonzales, Alex Antonio
"
